1.81	0.6	-1.370.75	-1.78	-1.17
1.83	-1.99	-0.55
1.88	-0.69	-1.24
0.81	-1.49	-0.55
1.31	-1.12	-0.41
1.77	1.36	-0.65

1.83	-1.37	-1.31
1.98	0.85	-0.76
1.51	1.78	-1.28
1.33	1.6	-0.51
1.25	1.45	-1.12
1.76	1.92	-0.94
1.45	-1.08	-0.95
1.35	1.08	-0.69
1.49	-0.59	-0.53
1.56	-0.22	-1.22
1.26	1.35	-0.46
1.88	-1.71	-1.20
1.83	-0.49	-0.56
1.78	-1.16	-0.91
2.11	1.45	-0.46
1.84	1.89	-0.54
1.93	1.87	-0.97
0.75	1.82	-1.37
0.78	-1.61	-1.12
1.80	-0.68	-1.31
2.13	-1.03	-0.91
0.97	0.56	-0.98
1.88	1.23	-1.12
2.06	-0.1	-0.97
1.94	0.32	-0.51
1.98	-1.25	-1.12
1.92	-0.29	-0.68
0.82	-1.91	-1.22
1.48	0.98	-0.65
2.00	1.25	-0.73
1.34	0.91	-1.21
2.01	-1.63	-0.80
1.52	-0.48	-1.13
1.94	1.93	-1.13
1.97	-1.54	-0.94
1.85	0.37	-0.58
2.08	0.99	-0.69
1.76	-1.47	-0.95
1.92	-1.72	-1.33
1.76	-1.87	-0.85
1.75	0.18	-1.22

